iteration,t,r,b,numberOfHashes,FoC*,f1*,precision*,recall*,Foc,f1,treshHold,precision,recall,bootstrap
9,0.8912509381337456,20,10,200,0.0007099278979478647,0.044,0.031,0.071,4.991680532445923e-05,0.123,0.9,0.444,0.071,2
10,0.8640099626503107,17,12,200,0.0010482529118136439,0.049,0.032,0.107,0.00013865779256794233,0.148,0.7,0.24,0.107,2
11,0.8241257452788975,14,15,200,0.0017470881863560733,0.06,0.035,0.196,0.00027176927343316694,0.19,0.7,0.204,0.179,2
12,0.7897008216626797,12,17,200,0.002617859123682751,0.053,0.03,0.25,0.0003882418191902385,0.175,0.7,0.157,0.196,2
13,0.7411344491069477,10,20,200,0.004991680532445923,0.046,0.024,0.393,0.0008153078202995009,0.187,0.6,0.129,0.339,2
14,0.7058247892088014,9,23,200,0.011281198003327787,0.02,0.01,0.375,0.0005546311702717693,0.167,0.7,0.13,0.232,2
15,0.668740304976422,8,25,200,0.010266222961730449,0.026,0.014,0.446,0.0005934553521907931,0.147,0.7,0.112,0.214,2
16,0.6181387937236277,7,29,200,0.019217970049916804,0.017,0.009,0.536,0.0006655574043261231,0.159,0.7,0.117,0.25,2
17,0.555588840330063,6,34,200,0.04689406544647809,0.009,0.004,0.661,0.0006932889628397116,0.155,0.7,0.112,0.25,2
18,0.4781762498950185,5,40,200,0.06555185801442041,0.007,0.003,0.732,0.0006932889628397116,0.155,0.7,0.112,0.25,2
19,0.3760603093086394,4,50,200,0.19816417082640045,0.003,0.002,0.964,0.0006932889628397116,0.155,0.7,0.112,0.25,2
20,0.2462115368990136,3,67,200,0.4007820299500832,0.002,0.001,0.982,0.0006932889628397116,0.155,0.7,0.112,0.25,2
21,0.1,2,100,200,0.739134775374376,0.001,0.0,1.018,0.0006932889628397116,0.155,0.7,0.112,0.25,2
22,0.005,1,200,200,0.9933555185801443,0.001,0.0,1.018,0.0006932889628397116,0.155,0.7,0.112,0.25,2
0,1.0,200,1,200,0.0002218524681087077,0.0,0.0,0.0,0.0006932889628397116,0.0,0.7,0.112,0.25,3
1,0.9930924954370359,100,2,200,0.0002218524681087077,0.0,0.0,0.0,0.0006932889628397116,0.0,0.7,0.112,0.25,3
2,0.9837365039399479,67,3,200,0.0002218524681087077,0.0,0.0,0.0,0.0006932889628397116,0.0,0.7,0.112,0.25,3
3,0.9726549474122855,50,4,200,0.0002329450915141431,0.0,0.0,0.0,0.0006932889628397116,0.0,0.7,0.112,0.25,3
4,0.9605627697295936,40,5,200,0.0002384914032168608,0.0,0.0,0.0,0.0006932889628397116,0.0,0.7,0.112,0.25,3
5,0.9427379033034217,33,7,200,0.0002995008319467554,0.038,0.04,0.036,4.991680532445923e-05,0.062,0.0,0.222,0.036,3
6,0.9351013592373913,29,7,200,0.0002495840266222962,0.021,0.024,0.018,4.437049362174154e-05,0.032,0.0,0.125,0.018,3
7,0.9201876506248751,25,8,200,0.00041042706600110925,0.0,0.0,0.0,4.437049362174154e-05,0.0,0.0,0.125,0.018,3
8,0.9006280202112785,22,10,200,0.0005601774819744869,0.039,0.031,0.055,8.874098724348308e-05,0.085,0.8,0.188,0.055,3
9,0.8912509381337456,20,10,200,0.0006045479755962285,0.025,0.019,0.036,9.428729894620078e-05,0.056,0.8,0.118,0.036,3
10,0.8640099626503107,17,12,200,0.0008097615085967832,0.041,0.028,0.073,0.00014420410427066002,0.099,0.7,0.154,0.073,3
11,0.8241257452788975,14,15,200,0.0019744869661674986,0.049,0.028,0.182,0.0003105934553521908,0.144,0.7,0.143,0.145,3
12,0.7897008216626797,12,17,200,0.0017637271214642264,0.049,0.029,0.164,0.0002939545202440377,0.148,0.7,0.151,0.145,3
13,0.7411344491069477,10,20,200,0.003788130892956184,0.03,0.016,0.2,0.00045479755962285083,0.131,0.7,0.11,0.164,3
14,0.7058247892088014,9,23,200,0.00824181919023849,0.018,0.009,0.255,0.0005490848585690516,0.13,0.7,0.101,0.182,3
15,0.668740304976422,8,25,200,0.00935108153078203,0.017,0.009,0.273,0.0005601774819744869,0.128,0.7,0.099,0.182,3
16,0.6181387937236277,7,29,200,0.013549639489739322,0.016,0.008,0.364,0.0001552967276760954,0.12,0.8,0.179,0.091,3
17,0.555588840330063,6,34,200,0.03369384359400998,0.011,0.005,0.6,0.0001552967276760954,0.12,0.8,0.179,0.091,3
18,0.4781762498950185,5,40,200,0.060305047143649475,0.007,0.003,0.655,0.0001552967276760954,0.12,0.8,0.179,0.091,3
19,0.3760603093086394,4,50,200,0.1684026622296173,0.003,0.002,0.855,0.0001552967276760954,0.12,0.8,0.179,0.091,3
20,0.2462115368990136,3,67,200,0.33669994453688296,0.002,0.001,0.964,0.0001552967276760954,0.12,0.8,0.179,0.091,3
21,0.1,2,100,200,0.7243094841930117,0.001,0.0,1.018,0.0001552967276760954,0.12,0.8,0.179,0.091,3
22,0.005,1,200,200,0.9966722129783694,0.001,0.0,1.036,0.0001552967276760954,0.12,0.8,0.179,0.091,3
0,1.0,200,1,200,0.0002662229617304492,0.042,0.042,0.043,3.882418191902385e-05,0.074,0.0,0.286,0.043,4
1,0.9930924954370359,100,2,200,0.0002662229617304492,0.042,0.042,0.043,3.882418191902385e-05,0.074,0.0,0.286,0.043,4
2,0.9837365039399479,67,3,200,0.0002662229617304492,0.042,0.042,0.043,3.882418191902385e-05,0.074,0.0,0.286,0.043,4
3,0.9726549474122855,50,4,200,0.00028840820854132004,0.04,0.038,0.043,3.882418191902385e-05,0.074,0.0,0.286,0.043,4
4,0.9605627697295936,40,5,200,0.00027176927343316694,0.042,0.041,0.043,3.882418191902385e-05,0.074,0.0,0.286,0.043,4
5,0.9427379033034217,33,7,200,0.0003826955074875208,0.052,0.043,0.064,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
6,0.9351013592373913,29,7,200,0.0003826955074875208,0.034,0.029,0.043,3.882418191902385e-05,0.074,0.8,0.286,0.043,4
7,0.9201876506248751,25,8,200,0.0003826955074875208,0.034,0.029,0.043,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
8,0.9006280202112785,22,10,200,0.0006600110926234054,0.024,0.017,0.043,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
9,0.8912509381337456,20,10,200,0.0006711037160288409,0.024,0.017,0.043,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
10,0.8640099626503107,17,12,200,0.0009816971713810317,0.036,0.023,0.085,0.0001497504159733777,0.081,0.6,0.111,0.064,4
11,0.8241257452788975,14,15,200,0.001985579589572934,0.02,0.011,0.085,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
12,0.7897008216626797,12,17,200,0.0024570160843039378,0.037,0.02,0.191,0.0004936217415418746,0.103,0.4,0.079,0.149,4
13,0.7411344491069477,10,20,200,0.0041541874653355515,0.02,0.011,0.17,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
14,0.7058247892088014,9,23,200,0.009051580698835274,0.012,0.006,0.213,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
15,0.668740304976422,8,25,200,0.011663893510815308,0.017,0.009,0.383,0.0012479201331114808,0.081,0.6,0.049,0.234,4
16,0.6181387937236277,7,29,200,0.03009983361064892,0.008,0.004,0.468,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
17,0.555588840330063,6,34,200,0.05631170271769274,0.006,0.003,0.66,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
18,0.4781762498950185,5,40,200,0.16043261231281197,0.002,0.001,0.745,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
19,0.3760603093086394,4,50,200,0.30236272878535775,0.002,0.001,0.894,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
20,0.2462115368990136,3,67,200,0.44340543538546867,0.001,0.001,0.979,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
21,0.1,2,100,200,0.8877260122018857,0.001,0.0,1.0,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
22,0.005,1,200,200,0.9966722129783694,0.001,0.0,1.0,3.882418191902385e-05,0.074,0.9,0.286,0.043,4
